passage_id,layer,num_removed,exact_match,first_divergence_idx
18,16,20,False,0
18,17,20,False,3
18,18,20,False,3
18,19,20,False,0
18,20,20,False,0
18,21,20,False,0
18,22,20,False,0
18,23,20,False,0
18,24,20,False,0
18,25,20,False,1
18,26,20,False,3
18,27,20,False,3
18,28,20,False,0
18,29,20,False,21
18,30,20,False,0
18,31,20,False,1
18,32,20,False,3
18,33,20,True,30
18,34,20,True,30
19,0,20,False,0
19,1,20,False,0
19,2,20,False,0
19,3,20,False,0
19,4,20,False,1
19,5,20,False,0
19,6,20,False,0
19,7,20,False,0
19,8,20,False,0
19,9,20,False,0
19,10,20,False,0
19,11,20,False,0
19,12,20,False,0
19,13,20,False,0
19,14,20,False,0
19,15,20,False,0
19,16,20,False,0
19,17,20,False,0
19,18,20,False,0
19,19,20,False,0
19,20,20,False,0
19,21,20,False,0
19,22,20,False,0
19,23,20,False,0
19,24,20,False,0
19,25,20,False,0
19,26,20,False,0
19,27,20,False,0
19,28,20,False,0
19,29,20,False,0
19,30,20,False,0
19,31,20,False,0
19,32,20,False,0
19,33,20,False,0
19,34,20,False,0
20,0,20,False,0
20,1,20,False,0
20,2,20,False,0
20,3,20,False,0
20,4,20,False,0
20,5,20,False,0
20,6,20,False,0
20,7,20,False,1
20,8,20,False,0
20,9,20,False,0
20,10,20,False,0
20,11,20,False,0
20,12,20,False,0
20,13,20,False,0
20,14,20,False,0
20,15,20,False,1
20,16,20,False,0
20,17,20,False,0
20,18,20,False,0
20,19,20,False,0
20,20,20,False,0
20,21,20,False,0
20,22,20,False,0
20,23,20,False,0
20,24,20,False,0
20,25,20,False,0
20,26,20,False,0
20,27,20,False,1
20,28,20,False,0
20,29,20,False,0
20,30,20,False,1
20,31,20,False,0
20,32,20,False,0
20,33,20,False,0
20,34,20,False,1
21,0,20,False,0
21,1,20,False,0
21,2,20,False,0
21,3,20,False,0
21,4,20,False,0
21,5,20,False,0
21,6,20,False,0
21,7,20,False,0
21,8,20,False,0
21,9,20,False,0
21,10,20,False,0
21,11,20,False,0
21,12,20,False,0
21,13,20,False,0
21,14,20,False,0
21,15,20,False,0
21,16,20,False,0
21,17,20,False,0
21,18,20,False,2
21,19,20,False,0
21,20,20,False,0
21,21,20,False,0
21,22,20,False,0
21,23,20,False,2
21,24,20,False,0
21,25,20,False,2
21,26,20,False,0
21,27,20,False,0
21,28,20,False,1
21,29,20,False,0
21,30,20,False,0
21,31,20,False,0
21,32,20,False,0
21,33,20,False,0
21,34,20,False,0
22,0,20,False,0
22,1,20,False,1
22,2,20,False,2
22,3,20,False,1
22,4,20,False,0
22,5,20,False,0
22,6,20,False,0
22,7,20,False,0
22,8,20,False,0
22,9,20,False,0
22,10,20,False,0
22,11,20,False,0
22,12,20,True,30
22,13,20,False,0
22,14,20,False,0
22,15,20,False,0
22,16,20,False,0
22,17,20,False,0
22,18,20,False,0
22,19,20,False,0
22,20,20,False,0
22,21,20,True,30
22,22,20,False,0
22,23,20,False,0
22,24,20,False,0
22,25,20,False,0
22,26,20,False,0
22,27,20,True,30
22,28,20,False,0
22,29,20,False,0
22,30,20,False,1
22,31,20,False,1
22,32,20,False,1
22,33,20,False,0
22,34,20,False,0
23,0,20,False,0
23,1,20,False,0
23,2,20,False,0
23,3,20,False,0
23,4,20,False,0
23,5,20,False,0
23,6,20,False,0
23,7,20,False,2
23,8,20,False,0
23,9,20,False,0
23,10,20,False,2
23,11,20,False,2
23,12,20,False,5
23,13,20,False,2
23,14,20,False,2
23,15,20,False,0
23,16,20,False,0
23,17,20,False,0
23,18,20,False,2
23,19,20,False,0
23,20,20,False,1
23,21,20,False,1
23,22,20,False,2
23,23,20,False,0
23,24,20,False,0
23,25,20,False,2
23,26,20,False,5
23,27,20,False,5
23,28,20,True,30
23,29,20,False,0
23,30,20,False,2
23,31,20,False,2
23,32,20,False,5
23,33,20,False,0
23,34,20,False,0
24,0,20,False,3
24,1,20,False,3
24,2,20,False,2
24,3,20,False,2
